1 5.000e-01 0.000e+00 0.000e+00 9.039e-04
2 5.009e-01 1.095e-04 -1.856e-03 9.091e-04
3 5.018e-01 4.384e-04 -3.697e-03 9.251e-04
4 5.027e-01 9.860e-04 -5.519e-03 9.539e-04
5 5.037e-01 1.753e-03 -7.325e-03 9.991e-04
6 5.047e-01 2.745e-03 -9.125e-03 1.068e-03
7 5.058e-01 3.984e-03 -1.094e-02 1.171e-03
8 5.069e-01 5.511e-03 -1.280e-02 1.328e-03
9 5.083e-01 7.412e-03 -1.476e-02 1.581e-03
10 5.098e-01 9.851e-03 -1.692e-02 2.027e-03
11 5.119e-01 1.318e-02 -1.942e-02 2.895e-03
12 5.148e-01 1.822e-02 -2.260e-02 4.443e-03
13 5.192e-01 2.634e-02 -2.678e-02 6.008e-03
14 5.252e-01 3.777e-02 -3.148e-02 8.739e-03
15 5.340e-01 5.489e-02 -3.698e-02 1.431e-02
16 5.483e-01 8.351e-02 -4.379e-02 2.000e-02
17 5.683e-01 1.241e-01 -5.044e-02 2.000e-02
18 5.883e-01 1.650e-01 -5.487e-02 2.000e-02
19 6.083e-01 2.061e-01 -5.771e-02 2.000e-02
20 6.283e-01 2.472e-01 -5.934e-02 2.000e-02
21 6.483e-01 2.883e-01 -5.999e-02 2.000e-02
22 6.683e-01 3.295e-01 -5.983e-02 2.000e-02
23 6.883e-01 3.706e-01 -5.899e-02 2.000e-02
24 7.083e-01 4.117e-01 -5.757e-02 2.000e-02
25 7.283e-01 4.528e-01 -5.566e-02 2.000e-02
26 7.483e-01 4.939e-01 -5.332e-02 2.000e-02
27 7.683e-01 5.350e-01 -5.060e-02 2.000e-02
28 7.883e-01 5.760e-01 -4.756e-02 2.000e-02
29 8.083e-01 6.170e-01 -4.421e-02 2.000e-02
30 8.283e-01 6.580e-01 -4.060e-02 2.000e-02
31 8.483e-01 6.990e-01 -3.674e-02 2.000e-02
32 8.683e-01 7.399e-01 -3.265e-02 2.000e-02
33 8.883e-01 7.808e-01 -2.833e-02 2.000e-02
34 9.083e-01 8.217e-01 -2.379e-02 2.000e-02
35 9.283e-01 8.626e-01 -1.904e-02 2.000e-02
36 9.483e-01 9.034e-01 -1.405e-02 2.000e-02
37 9.683e-01 9.442e-01 -8.822e-03 2.000e-02
38 9.883e-01 9.850e-01 -3.341e-03 2.000e-02
