200   2
0.0000000   0.0000000   0.000000
0.0000623   0.0014014   0.000000
0.0002492   0.0027933   0.000000
0.0005607   0.0041756   0.000000
0.0009966   0.0055481   0.000000
0.0015569   0.0069107   0.000000
0.0022414   0.0082632   0.000000
0.0030499   0.0096054   0.000000
0.0039823   0.0109372   0.000000
0.0050383   0.0122584   0.000000
0.0062177   0.0135686   0.000000
0.0075202   0.0148677   0.000000
0.0089453   0.0161554   0.000000
0.0104929   0.0174314   0.000000
0.0121624   0.0186955   0.000000
0.0139536   0.0199473   0.000000
0.0158658   0.0211866   0.000000
0.0178988   0.0224129   0.000000
0.0200518   0.0236261   0.000000
0.0223245   0.0248256   0.000000
0.0247163   0.0260112   0.000000
0.0272264   0.0271826   0.000000
0.0298544   0.0283393   0.000000
0.0325996   0.0294809   0.000000
0.0354613   0.0306072   0.000000
0.0384387   0.0317177   0.000000
0.0415312   0.0328119   0.000000
0.0447379   0.0338896   0.000000
0.0480581   0.0349503   0.000000
0.0514909   0.0359937   0.000000
0.0550355   0.0370192   0.000000
0.058691   0.0380266   00.000000
0.0624565   0.0390155   0.000000
0.066331   0.0399854   00.000000
0.0703136   0.040936   00.000000
0.0744033   0.0418669   0.000000
0.0785991   0.0427776   0.000000
0.0828998   0.0436679   0.000000
0.0873046   0.0445374   0.000000
0.0918121   0.0453858   0.000000
0.0964214   0.0462126   0.000000
0.1011313   0.0470175   0.000000
0.1059406   0.0478003   0.000000
0.1108481   0.0485606   0.000000
0.1158526   0.0492981   0.000000
0.1209528   0.0500125   0.000000
0.1261475   0.0507036   0.000000
0.1314354   0.0513711   0.000000
0.1368151   0.0520148   0.000000
0.1422853   0.0526344   0.000000
0.1478447   0.0532298   0.000000
0.1534919   0.0538007   0.000000
0.1592254   0.0543469   0.000000
0.1650438   0.0548684   0.000000
0.1709457   0.0553649   0.000000
0.1769296   0.0558363   0.000000
0.1829941   0.0562827   0.000000
0.1891375   0.0567037   0.000000
0.1953584   0.0570995   0.000000
0.2016553   0.0574699   0.000000
0.2080264   0.057815   00.000000
0.2144704   0.0581347   0.000000
0.2209855   0.058429   00.000000
0.2275701   0.058698   00.000000
0.2342227   0.0589417   0.000000
0.2409415   0.0591602   0.000000
0.2477248   0.0593535   0.000000
0.2545711   0.0595219   0.000000
0.2614784   0.0596654   0.000000
0.2684453   0.0597841   0.000000
0.2754698   0.0598783   0.000000
0.2825503   0.0599481   0.000000
0.289685   0.0599937   00.000000
0.296872   0.0600153   00.000000
0.3041098   0.0600132   0.000000
0.3113963   0.0599875   0.000000
0.3187299   0.0599386   0.000000
0.3261086   0.0598668   0.000000
0.3335307   0.0597723   0.000000
0.3409942   0.0596554   0.000000
